id,match,cote_1,cote_N,cote_2,somme_probabilites,marge_%,trj_%,prob_1_%,prob_N_%,prob_2_%
67817814,,1.98,3.4,3.0,1.1325014854426618,13.25,88.3,44.6,26.0,29.4
67817818,,2.35,3.0,2.6,1.1434806328423348,14.35,87.45,37.2,29.2,33.6
67817820,,4.0,3.2,1.68,1.1577380952380953,15.77,86.38,21.6,27.0,51.4
67912766,,2.1,3.2,2.8,1.1458333333333333,14.58,87.27,41.6,27.3,31.2
67912770,,2.2,3.25,2.6,1.1468531468531469,14.69,87.2,39.6,26.8,33.5
68194794,,2.0,3.8,2.65,1.1405163853028797,14.05,87.68,43.8,23.1,33.1
68194796,,1.92,3.65,2.75,1.158442299709423,15.84,86.32,45.0,23.7,31.4
68194798,,4.1,5.0,1.44,1.1383468834688348,13.83,87.85,21.4,17.6,61.0
68194800,,1.37,5.0,4.8,1.1382603406326033,13.83,87.85,64.1,17.6,18.3
68194804,,2.25,3.8,2.2,1.162147793726741,16.21,86.05,38.2,22.6,39.1
68214768,,1.13,7.0,10.0,1.1278128950695323,12.78,88.67,78.5,12.7,8.9
68214770,,4.0,4.0,1.6,1.125,12.5,88.89,22.2,22.2,55.6
68214772,,1.74,3.65,3.4,1.1428028934767105,14.28,87.5,50.3,24.0,25.7
68214774,,1.5,4.2,4.2,1.1428571428571428,14.29,87.5,58.3,20.8,20.8
68214776,,4.8,4.2,1.45,1.1360837438423645,13.61,88.02,18.3,21.0,60.7
68492662,,1.58,3.85,4.3,1.1252097916802066,12.52,88.87,56.2,23.1,20.7
68492664,,2.95,3.45,1.96,1.1390422049438786,13.9,87.79,29.8,25.4,44.8
68492666,,3.35,3.5,1.8,1.1397773039564085,13.98,87.74,26.2,25.1,48.7
68492668,,1.6,3.75,4.1,1.1355691056910568,13.56,88.06,55.0,23.5,21.5
68492670,,2.25,3.3,2.55,1.1396316102198454,13.96,87.75,39.0,26.6,34.4
68686080,,2.8,3.4,2.1,1.1274509803921569,12.75,88.7,31.7,26.1,42.2
68686082,,1.44,4.1,5.0,1.1383468834688346,13.83,87.85,61.0,21.4,17.6
68686084,,1.25,5.2,7.25,1.130238726790451,13.02,88.48,70.8,17.0,12.2
68686086,,2.75,3.5,2.05,1.1371555273994298,13.72,87.94,32.0,25.1,42.9
68687834,,1.49,3.75,5.1,1.1338860376365312,13.39,88.19,59.2,23.5,17.3
68687836,,1.88,3.05,3.65,1.1337563488157638,13.38,88.2,46.9,28.9,24.2
68687838,,3.0,2.9,2.15,1.1432771986099972,14.33,87.47,29.2,30.2,40.7
68687840,,4.3,3.65,1.6,1.1315307422746097,13.15,88.38,20.6,24.2,55.2
68687842,,2.8,3.0,2.15,1.1555924695459578,15.56,86.54,30.9,28.8,40.2
68687844,,2.1,3.1,3.0,1.1321044546850998,13.21,88.33,42.1,28.5,29.4
68687846,,1.26,4.9,7.75,1.126764684368371,12.68,88.75,70.4,18.1,11.5
68687848,,1.62,3.45,4.4,1.1344117503537794,13.44,88.15,54.4,25.6,20.0
68995332,,2.15,3.3,2.7,1.1385169524704408,13.85,87.83,40.9,26.6,32.5
68995334,,1.82,3.85,3.15,1.1266511266511265,12.67,88.76,48.8,23.1,28.2
68995336,,2.3,3.5,2.45,1.1286601597160604,12.87,88.6,38.5,25.3,36.2
68995338,,1.42,4.8,4.7,1.125324642892818,12.53,88.86,62.6,18.5,18.9
68995340,,2.35,3.45,2.35,1.1409189022510022,14.09,87.65,37.3,25.4,37.3
68995342,,2.6,3.45,2.1,1.150660933269629,15.07,86.91,33.4,25.2,41.4
68995344,,1.27,5.2,6.25,1.1397092671108418,13.97,87.74,69.1,16.9,14.0
68995346,,2.2,3.2,2.7,1.1374158249158248,13.74,87.92,40.0,27.5,32.6
71778666,,4.6,4.0,1.62,1.08467525496511,8.47,92.19,20.0,23.0,56.9
71805368,,1.08,8.5,13.0,1.1204960616725321,12.05,89.25,82.6,10.5,6.9
71805384,,2.4,3.0,2.65,1.1273584905660377,12.74,88.7,37.0,29.6,33.5
71805728,,2.3,3.15,2.7,1.12261329652634,12.26,89.08,38.7,28.3,33.0
