match,pari,cote,prob_ml_%,ev_%
Pogoń Szczecin - Wisla Cracovie,Match Nul,3.35,31.6,5.72
GKS Katowice - Wisla Plock,Match Nul,3.35,31.6,5.72
GKS Katowice - Wisla Plock,Victoire Wisla Plock,3.25,37.6,22.09
Puebla - Santos Laguna,Match Nul,3.5,31.6,10.45
Puebla - Santos Laguna,Victoire Santos Laguna,2.95,37.6,10.82
FC Juarez - Club América,Victoire FC Juarez,3.65,30.9,12.7
FC Juarez - Club América,Match Nul,3.6,31.6,13.61
Guadalajara  - Club Tijuana,Match Nul,4.3,31.6,35.7
Guadalajara  - Club Tijuana,Victoire Club Tijuana,5.2,37.6,95.34
Querétaro - Toluca,Victoire Querétaro,3.55,30.9,9.61
Querétaro - Toluca,Match Nul,3.7,31.6,16.76
Leon - Monterrey,Match Nul,3.45,31.6,8.87
Cruz Azul - Atlas,Match Nul,4.0,31.6,26.23
Cruz Azul - Atlas,Victoire Atlas,5.2,37.6,95.34
Tigres - Atlante,Match Nul,4.3,31.6,35.7
Tigres - Atlante,Victoire Atlante,5.5,37.6,106.61
Atletico San Luis - Pachuca,Match Nul,3.3,31.6,4.14
U.N.A.M. - Necaxa,Match Nul,3.45,31.6,8.87
U.N.A.M. - Necaxa,Victoire Necaxa,3.3,37.6,23.97
Necaxa - Cruz Azul,Match Nul,3.5,31.6,10.45
Club Tijuana - U.N.A.M.,Match Nul,3.3,31.6,4.14
Radnicki 1923 - IMT,Victoire IMT,2.85,37.6,7.06
Mladost Lucani - Partizan Belgrade,Victoire Mladost Lucani,3.8,30.9,17.33
Mladost Lucani - Partizan Belgrade,Match Nul,3.5,31.6,10.45
OFK Belgrade - Zemun,Match Nul,4.2,31.6,32.54
OFK Belgrade - Zemun,Victoire Zemun,6.5,37.6,144.17
Étoile Rouge Belgrade - Cukaricki,Match Nul,7.25,31.6,128.79
Étoile Rouge Belgrade - Cukaricki,Victoire Cukaricki,12.0,37.6,350.78
Vojvodina - Železničar,Match Nul,3.95,31.6,24.65
Vojvodina - Železničar,Victoire Železničar,4.5,37.6,69.04
Radnik Surdulica - Novi Pazar,Victoire Novi Pazar,3.45,37.6,29.6
FC Tokyo - JEF United Chiba,Match Nul,3.95,31.6,24.65
FC Tokyo - JEF United Chiba,Victoire JEF United Chiba,5.2,37.6,95.34
Kashiwa Reysol - V-Varen Nagasaki,Match Nul,3.8,31.6,19.92
Kashiwa Reysol - V-Varen Nagasaki,Victoire V-Varen Nagasaki,4.7,37.6,76.56
Kashima Antlers - Avispa Fukuoka,Match Nul,3.3,31.6,4.14
Kashima Antlers - Avispa Fukuoka,Victoire Avispa Fukuoka,4.5,37.6,69.04
Kyoto Sanga FC - Mito HollyHock,Victoire Mito HollyHock,3.3,37.6,23.97
Cerezo Osaka - Shimizu S-Pulse,Victoire Shimizu S-Pulse,2.8,37.6,5.18
Fagiano Okayama - Tokyo Verdy,Victoire Tokyo Verdy,3.3,37.6,23.97
Sanfrecce Hiroshima - Kawasaki Frontale,Match Nul,3.95,31.6,24.65
Sanfrecce Hiroshima - Kawasaki Frontale,Victoire Kawasaki Frontale,4.2,37.6,57.77
Machida Zelvia - Urawa Reds,Match Nul,3.35,31.6,5.72
Machida Zelvia - Urawa Reds,Victoire Urawa Reds,4.1,37.6,54.02
Thoune - Servette FC,Match Nul,3.5,31.6,10.45
Lucerne - FC Lausanne,Match Nul,3.7,31.6,16.76
Lucerne - FC Lausanne,Victoire FC Lausanne,3.1,37.6,16.45
FC Zurich - FC Bâle,Match Nul,3.5,31.6,10.45
Young Boys Berne - Vaduz,Match Nul,5.5,31.6,73.57
Young Boys Berne - Vaduz,Victoire Vaduz,6.75,37.6,153.57
Dundee United - Dundee FC,Victoire Dundee FC,3.05,37.6,14.57
Standard Liège - RAAL La Louvière,Match Nul,3.4,31.6,7.3
Standard Liège - RAAL La Louvière,Victoire RAAL La Louvière,3.7,37.6,38.99
Zulte Waregem - Waasland-Beveren,Match Nul,3.35,31.6,5.72
Zulte Waregem - Waasland-Beveren,Victoire Waasland-Beveren,3.2,37.6,20.21
Charleroi - Malines,Match Nul,3.5,31.6,10.45
Charleroi - Malines,Victoire Malines,3.95,37.6,48.38
Royal Antwerp FC - Genk,Match Nul,3.3,31.6,4.14
Lommel United - Westerlo,Match Nul,3.3,31.6,4.14
Club Bruges - Cercle Bruges,Match Nul,5.7,31.6,79.88
Club Bruges - Cercle Bruges,Victoire Cercle Bruges,6.75,37.6,153.57
Arsenal - Coventry City,Match Nul,7.5,31.6,136.68
Arsenal - Coventry City,Victoire Coventry City,13.0,37.6,388.35
Hull City - Manchester United,Victoire Hull City,7.5,30.9,131.58
Hull City - Manchester United,Match Nul,4.9,31.6,54.63
Everton - Crystal Palace,Match Nul,3.4,31.6,7.3
Everton - Crystal Palace,Victoire Crystal Palace,3.2,37.6,20.21
Ipswich - Sunderland,Match Nul,3.3,31.6,4.14
Nottingham Forest - Leeds,Match Nul,3.4,31.6,7.3
Nottingham Forest - Leeds,Victoire Leeds,2.95,37.6,10.82
Brentford - Tottenham,Match Nul,3.6,31.6,13.61
Brighton - Aston Villa,Match Nul,3.65,31.6,15.19
Brighton - Aston Villa,Victoire Aston Villa,2.95,37.6,10.82
Manchester City - Bournemouth,Match Nul,5.0,31.6,57.79
Manchester City - Bournemouth,Victoire Bournemouth,5.5,37.6,106.61
Newcastle - Liverpool,Victoire Newcastle,3.5,30.9,8.07
Newcastle - Liverpool,Match Nul,3.95,31.6,24.65
Fulham - Chelsea,Victoire Fulham,3.5,30.9,8.07
Fulham - Chelsea,Match Nul,3.75,31.6,18.34
Ironi Tiberias - Hapoel Petah Tikva,Match Nul,3.3,31.6,4.14
Hapoel Jerusalem - Maccabi Tel Aviv,Victoire Hapoel Jerusalem,5.4,30.9,66.74
